Country Code,year,population
ABW,1960,54608.0
AFE,1960,130692579.0
AFG,1960,8622466.0
AFW,1960,97256290.0
AGO,1960,5357195.0
ALB,1960,1608800.0
AND,1960,9443.0
ARB,1960,93359407.0
ARE,1960,133426.0
ARG,1960,20349744.0
ARM,1960,1904148.0
ASM,1960,20085.0
ATG,1960,55342.0
AUS,1960,10276477.0
AUT,1960,7047539.0
AZE,1960,3894500.0
BDI,1960,2746628.0
BEL,1960,9153489.0
BEN,1960,2512284.0
BFA,1960,4783259.0
BGD,1960,50396429.0
BGR,1960,7867374.0
BHR,1960,160691.0
BHS,1960,114500.0
BIH,1960,3262539.0
BLR,1960,8198000.0
BLZ,1960,91403.0
BMU,1960,44400.0
BOL,1960,3707515.0
BRA,1960,73092515.0
BRB,1960,232550.0
BRN,1960,85346.0
BTN,1960,221266.0
BWA,1960,512865.0
CAF,1960,1679728.0
CAN,1960,17909356.0
CEB,1960,91401764.0
CHE,1960,5327827.0
CHI,1960,109186.0
CHL,1960,8141820.0
CHN,1960,667070000.0
CIV,1960,3708661.0
CMR,1960,5117608.0
COD,1960,15276558.0
COG,1960,1055693.0
COL,1960,15687688.0
COM,1960,194852.0
CPV,1960,209849.0
CRI,1960,1346302.0
CSS,1960,4209141.0
CUB,1960,7267395.0
CUW,1960,124826.0
CYM,1960,8473.0
CYP,1960,585725.0
CZE,1960,9602006.0
DEU,1960,72814900.0
DJI,1960,85940.0
DMA,1960,59379.0
DNK,1960,4579603.0
DOM,1960,3298021.0
DZA,1960,11394307.0
EAP,1960,896462247.0
EAR,1960,979461502.0
EAS,1960,1043333636.0
ECA,1960,255726092.0
ECS,1960,666273660.0
ECU,1960,4618158.0
EGY,1960,27034499.0
EMU,1960,269385168.0
ERI,1960,993568.0
ESP,1960,30455000.0
EST,1960,1211537.0
ETH,1960,21739710.0
EUU,1960,356947129.0
FCS,1960,245011384.0
FIN,1960,4429634.0
FJI,1960,401841.0
FRA,1960,46649927.0
FRO,1960,34154.0
FSM,1960,42986.0
GAB,1960,513340.0
GBR,1960,52400000.0
GEO,1960,3645600.0
GHA,1960,6911510.0
GIB,1960,21822.0
GIN,1960,3516814.0
GMB,1960,399649.0
GNB,1960,577933.0
GNQ,1960,267351.0
GRC,1960,8331725.0
GRD,1960,93772.0
GRL,1960,32500.0
GTM,1960,4128880.0
GUM,1960,72374.0
GUY,1960,571990.0
HIC,1960,780138593.0
HKG,1960,3114671.0
HND,1960,2078617.0
HPC,1960,163453961.0
HRV,1960,4140181.0
HTI,1960,3901139.0
HUN,1960,9983967.0
IBD,1960,1904346683.0
IBT,1960,2297972283.0
IDA,1960,393625600.0
IDB,1960,120380760.0
IDN,1960,88382881.0
IDX,1960,273244840.0
IMN,1960,48793.0
IND,1960,445954579.0
INX,1960,
IRL,1960,2828600.0
IRN,1960,21388806.0
IRQ,1960,7084678.0
ISL,1960,175574.0
ISR,1960,2114020.0
ITA,1960,50199700.0
JAM,1960,1642331.0
JOR,1960,847936.0
JPN,1960,93216000.0
KAZ,1960,9319283.0
KEN,1960,7751435.0
KGZ,1960,2172300.0
KHM,1960,5541676.0
KIR,1960,47093.0
KNA,1960,56660.0
KOR,1960,25012374.0
KWT,1960,305415.0
LAC,1960,194711112.0
LAO,1960,2122532.0
LBN,1960,1798092.0
LBR,1960,1137026.0
LBY,1960,1426986.0
LCA,1960,91614.0
LCN,1960,219142626.0
LDC,1960,243747624.0
LIC,1960,135762574.0
LIE,1960,16472.0
LKA,1960,9783871.0
LMC,1960,905832820.0
LMY,1960,2243178704.0
LSO,1960,737838.0
LTE,1960,1095548725.0
LTU,1960,2778550.0
LUX,1960,313970.0
LVA,1960,2120979.0
MAC,1960,177014.0
MAF,1960,4135.0
MAR,1960,11769774.0
MCO,1960,21797.0
MDA,1960,2074015.0
MDG,1960,5073342.0
MDV,1960,91650.0
MEA,1960,104958259.0
MEX,1960,36268055.0
MHL,1960,15374.0
MIC,1960,2107416130.0
MKD,1960,1462368.0
MLI,1960,5346792.0
MLT,1960,326550.0
MMR,1960,21720697.0
MNA,1960,97179656.0
MNE,1960,480579.0
MNG,1960,977903.0
MNP,1960,8702.0
MOZ,1960,6788375.0
MRT,1960,838478.0
MUS,1960,676683.0
MWI,1960,3621081.0
MYS,1960,7833782.0
NAC,1960,198624756.0
NAM,1960,590181.0
NCL,1960,79000.0
NER,1960,3497431.0
NGA,1960,44928342.0
NIC,1960,1789684.0
NLD,1960,11486631.0
NOR,1960,3581239.0
NPL,1960,10167941.0
NRU,1960,4582.0
NZL,1960,2371800.0
OED,1960,807630906.0
OMN,1960,536553.0
OSS,1960,9080716.0
PAK,1960,45954226.0
PAN,1960,1126989.0
PER,1960,10172207.0
PHL,1960,28486871.0
PLW,1960,9446.0
PNG,1960,1985666.0
POL,1960,29637450.0
PRE,1960,188484894.0
PRI,1960,2358000.0
PRK,1960,11655666.0
PRT,1960,8857716.0
PRY,1960,1894829.0
PSE,1960,
PSS,1960,905537.0
PST,1960,755575073.0
PYF,1960,84851.0
QAT,1960,36385.0
ROU,1960,18406905.0
RUS,1960,119897000.0
RWA,1960,2966162.0
SAS,1960,571192428.0
SAU,1960,4165563.0
SDN,1960,8326462.0
SEN,1960,3273177.0
SGP,1960,1646400.0
SLB,1960,133440.0
SLE,1960,2301310.0
SLV,1960,2779327.0
SMR,1960,15556.0
SOM,1960,2870732.0
SRB,1960,6608000.0
SSA,1960,227907169.0
SSD,1960,2907724.0
SSF,1960,227948869.0
SST,1960,14195394.0
STP,1960,68038.0
SUR,1960,268396.0
SVK,1960,4068095.0
SVN,1960,1584720.0
SWE,1960,7484656.0
SWZ,1960,345065.0
SXM,1960,2646.0
SYC,1960,41700.0
SYR,1960,4610712.0
TCA,1960,5604.0
TCD,1960,3028688.0
TEA,1960,884811163.0
TEC,1960,307910628.0
TGO,1960,1651367.0
THA,1960,26596584.0
TJK,1960,2131992.0
TKM,1960,1602052.0
TLA,1960,208929539.0
TLS,1960,468573.0
TMN,1960,97179656.0
TON,1960,67428.0
TSA,1960,571192428.0
TSS,1960,227948869.0
TTO,1960,847063.0
TUN,1960,4195467.0
TUR,1960,27510980.0
TUV,1960,5404.0
TZA,1960,10042458.0
UGA,1960,7617746.0
UKR,1960,42767251.0
UMC,1960,1201583310.0
URY,1960,2529021.0
USA,1960,180671000.0
UZB,1960,8372311.0
VCT,1960,84141.0
VEN,1960,8156937.0
VGB,1960,7850.0
VIR,1960,32500.0
VNM,1960,32718461.0
VUT,1960,64608.0
WLD,1960,3031474234.0
WSM,1960,113335.0
XKX,1960,947000.0
YEM,1960,5542459.0
ZAF,1960,16520441.0
ZMB,1960,3119430.0
ZWE,1960,3806310.0
ABW,1961,55811.0
AFE,1961,134169237.0
AFG,1961,8790140.0
AFW,1961,99314028.0
AGO,1961,5441333.0
ALB,1961,1659800.0
AND,1961,10216.0
ARB,1961,95760348.0
ARE,1961,140984.0
ARG,1961,20680653.0
ARM,1961,1971530.0
ASM,1961,20626.0
ATG,1961,56245.0
AUS,1961,10483000.0
AUT,1961,7086299.0
AZE,1961,4045750.0
BDI,1961,2815972.0
BEL,1961,9183948.0
BEN,1961,2551216.0
BFA,1961,4852833.0
BGD,1961,51882769.0
BGR,1961,7943118.0
BHR,1961,166970.0
BHS,1961,120216.0
BIH,1961,3325333.0
BLR,1961,8271216.0
BLZ,1961,93757.0
BMU,1961,45500.0
BOL,1961,3784744.0
BRA,1961,75330008.0
BRB,1961,233698.0
BRN,1961,89561.0
BTN,1961,227071.0
BWA,1961,524403.0
CAF,1961,1710364.0
CAN,1961,18271000.0
CEB,1961,92232738.0
CHE,1961,5434294.0
CHI,1961,110225.0
CHL,1961,8313535.0
CHN,1961,660330000.0
CIV,1961,3848336.0
CMR,1961,5200355.0
COD,1961,15673284.0
COG,1961,1083431.0
COL,1961,16182414.0
COM,1961,198617.0
CPV,1961,214788.0
CRI,1961,1396138.0
CSS,1961,4289429.0
CUB,1961,7418518.0
CUW,1961,126125.0
CYM,1961,8626.0
CYP,1961,594771.0
CZE,1961,9586651.0
DEU,1961,73377632.0
DJI,1961,89270.0
DMA,1961,60395.0
DNK,1961,4611687.0
DOM,1961,3408415.0
DZA,1961,11598608.0
EAP,1961,895992255.0
EAR,1961,1004319366.0
EAS,1961,1045203037.0
ECA,1961,259951519.0
ECS,1961,673957844.0
ECU,1961,4751507.0
EGY,1961,27747867.0
EMU,1961,271727867.0
ERI,1961,1016932.0
ESP,1961,30739250.0
EST,1961,1225077.0
ETH,1961,22281675.0
EUU,1961,359937892.0
FCS,1961,250272662.0
FIN,1961,4461005.0
FJI,1961,414534.0
FRA,1961,47161641.0
FRO,1961,34572.0
FSM,1961,44563.0
GAB,1961,519329.0
GBR,1961,52800000.0
GEO,1961,3703600.0
GHA,1961,7109029.0
GIB,1961,21907.0
GIN,1961,3578631.0
GMB,1961,410801.0
GNB,1961,583107.0
GNQ,1961,272264.0
GRC,1961,8398050.0
GRD,1961,95096.0
GRL,1961,33700.0
GTM,1961,4251911.0
GUM,1961,73873.0
GUY,1961,588597.0
HIC,1961,789918790.0
HKG,1961,3168100.0
HND,1961,2139928.0
HPC,1961,167427839.0
HRV,1961,4167292.0
HTI,1961,3974934.0
HUN,1961,10029321.0
IBD,1961,1926042536.0
IBT,1961,2329503799.0
IDA,1961,403461263.0
IDB,1961,123340386.0
IDN,1961,90816938.0
IDX,1961,280120877.0
IMN,1961,48422.0
IND,1961,456351876.0
INX,1961,
IRL,1961,2824400.0
IRN,1961,21983622.0
IRQ,1961,7260714.0
ISL,1961,179029.0
ISR,1961,2185000.0
ITA,1961,50536350.0
JAM,1961,1663754.0
JOR,1961,891848.0
JPN,1961,94055000.0
KAZ,1961,9639302.0
KEN,1961,8047470.0
KGZ,1961,2255900.0
KHM,1961,5664654.0
KIR,1961,48275.0
KNA,1961,56247.0
KOR,1961,25765673.0
KWT,1961,339697.0
LAC,1961,200250715.0
LAO,1961,2171141.0
LBN,1961,1853295.0
LBR,1961,1165005.0
LBY,1961,1478760.0
LCA,1961,92761.0
LCN,1961,225304612.0
LDC,1961,249669012.0
LIC,1961,138934269.0
LIE,1961,16834.0
LKA,1961,10022888.0
LMC,1961,927621191.0
LMY,1961,2274049905.0
LSO,1961,760895.0
LTE,1961,1097728985.0
LTU,1961,2823550.0
LUX,1961,316845.0
LVA,1961,2152681.0
MAC,1961,178672.0
MAF,1961,4258.0
MAR,1961,12081713.0
MCO,1961,21907.0
MDA,1961,2127854.0
MDG,1961,5206239.0
MDV,1961,93952.0
MEA,1961,107670788.0
MEX,1961,37439317.0
MHL,1961,15867.0
MIC,1961,2135115636.0
MKD,1961,1481112.0
MLI,1961,5420247.0
MLT,1961,325250.0
MMR,1961,22203109.0
MNA,1961,99620285.0
MNE,1961,491140.0
MNG,1961,1011502.0
MNP,1961,8965.0
MOZ,1961,6917521.0
MRT,1961,861663.0
MUS,1961,680757.0
MWI,1961,3708193.0
MYS,1961,8074805.0
NAC,1961,202007500.0
NAM,1961,601424.0
NCL,1961,81200.0
NER,1961,3602530.0
NGA,1961,45855507.0
NIC,1961,1844630.0
NLD,1961,11638712.0
NOR,1961,3609800.0
NPL,1961,10365144.0
NRU,1961,4753.0
NZL,1961,2419700.0
OED,1961,818832113.0
OMN,1961,546443.0
OSS,1961,9244843.0
PAK,1961,47060915.0
PAN,1961,1160832.0
PER,1961,10478096.0
PHL,1961,29342411.0
PLW,1961,9639.0
PNG,1961,2035672.0
POL,1961,29964000.0
PRE,1961,192890980.0
PRI,1961,2399722.0
PRK,1961,11916515.0
PRT,1961,8929316.0
PRY,1961,1941208.0
PSE,1961,
PSS,1961,932520.0
PST,1961,764678914.0
PYF,1961,86921.0
QAT,1961,40111.0
ROU,1961,18555250.0
RUS,1961,121236000.0
RWA,1961,3046654.0
SAS,1961,584794755.0
SAU,1961,4306048.0
SDN,1961,8577490.0
SEN,1961,3367082.0
SGP,1961,1702400.0
SLB,1961,136780.0
SLE,1961,2341065.0
SLV,1961,2858896.0
SMR,1961,15895.0
SOM,1961,2945662.0
SRB,1961,6655000.0
SSA,1961,233440376.0
SSD,1961,2948953.0
SSF,1961,233483265.0
SST,1961,14466792.0
STP,1961,68705.0
SUR,1961,277969.0
SVK,1961,4191667.0
SVN,1961,1594131.0
SWE,1961,7519998.0
SWZ,1961,352971.0
SXM,1961,2888.0
SYC,1961,42889.0
SYR,1961,4751534.0
TCA,1961,5625.0
TCD,1961,3087657.0
TEA,1961,884080493.0
TEC,1961,312638061.0
TGO,1961,1678788.0
THA,1961,27399963.0
TJK,1961,2208026.0
TKM,1961,1658569.0
TLA,1961,214886940.0
TLS,1961,475796.0
TMN,1961,99620285.0
TON,1961,69391.0
TSA,1961,584794755.0
TSS,1961,233483265.0
TTO,1961,865028.0
TUN,1961,4236386.0
TUR,1961,28255002.0
TUV,1961,5436.0
TZA,1961,10337891.0
UGA,1961,7838440.0
UKR,1961,43365219.0
UMC,1961,1207494445.0
URY,1961,2561153.0
USA,1961,183691000.0
UZB,1961,8692048.0
VCT,1961,85666.0
VEN,1961,8453106.0
VGB,1961,7885.0
VIR,1961,34300.0
VNM,1961,33621982.0
VUT,1961,66462.0
WLD,1961,3072421801.0
WSM,1961,116820.0
XKX,1961,966000.0
YEM,1961,5646668.0
ZAF,1961,16989464.0
ZMB,1961,3219451.0
ZWE,1961,3925952.0
ABW,1962,56682.0
AFE,1962,137835590.0
AFG,1962,8969047.0
AFW,1962,101445032.0
AGO,1962,5521400.0
ALB,1962,1711319.0
AND,1962,11014.0
ARB,1962,98268683.0
ARE,1962,148877.0
ARG,1962,21020359.0
ARM,1962,2039346.0
ASM,1962,21272.0
ATG,1962,57008.0
AUS,1962,10742000.0
AUT,1962,7129864.0
AZE,1962,4168150.0
BDI,1962,2887398.0
BEL,1962,9220578.0
BEN,1962,2593302.0
BFA,1962,4924497.0
BGD,1962,53461661.0
BGR,1962,8012946.0
BHR,1962,173359.0
BHS,1962,126305.0
BIH,1962,3387512.0
BLR,1962,8351928.0
BLZ,1962,96188.0
BMU,1962,46600.0
BOL,1962,3864140.0
BRA,1962,77599218.0
BRB,1962,234829.0
BRN,1962,93837.0
BTN,1962,233417.0
BWA,1962,536428.0
CAF,1962,1742502.0
CAN,1962,18614000.0
CEB,1962,93009498.0
CHE,1962,5573815.0
CHI,1962,111281.0
CHL,1962,8486120.0
CHN,1962,665770000.0
CIV,1962,3998287.0
CMR,1962,5303841.0
COD,1962,16086084.0
COG,1962,1112348.0
COL,1962,16691282.0
COM,1962,202527.0
CPV,1962,221484.0
CRI,1962,1447037.0
CSS,1962,4366420.0
CUB,1962,7574265.0
CUW,1962,128414.0
CYM,1962,8799.0
CYP,1962,601095.0
CZE,1962,9624660.0
DEU,1962,74025784.0
DJI,1962,93122.0
DMA,1962,61224.0
